objectid,title,subject,description,creator,publisher,date,time period,genre,format,filename,location,source,language,rights,rightsstatement
Abortion_method_interview_1968_a,Self-Induced Abortion Method 1,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_a.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_b,Self-Induced Abortion Method 2,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_b.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_c,Self-Induced Abortion Method 3,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_c.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_d,Self-Induced Abortion Method 4,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_d.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_e,Self-Induced Abortion Method 5,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_e.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_f,Self-Induced Abortion Method 6,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_f.pdf,"Bloomington, IN; Monroe County, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Abortion_method_interview_1968_g,Self-Induced Abortion Method 7,"Abortion--History; Abortion, Induced--methods","From an ethnographic study of oral tradition abortion methods conducted for a folklore class at Indiana University in 1968, information from a local women on her knowledge of how to self-induce an abortion. Personally identifying information about the student researcher and the interviewee have been redacted at the request of the Indiana University Archives.",Anonymous,None,1968,1960s,Interview; Ethnography,application/pdf,Abortion_method_interview_1968_g.pdf,"Bloomington, IN; Monroe County, IN; Seymour, IN","Box 5, Some Methods of Abortion in Oral Tradition, 1968, Indiana University Folklore Institute student papers, 1967-2000, Indiana University Archives",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Bloomington_Women_Leave_Area_1976_a,Bloomington Women Must Leave Area for Their Abortions,Abortion--History,"This news article, published in the alternative newspaper Fun City! (see pages 4-5), reports on how many Bloomington women were unaware of available abortion services in the state of Indiana, even after the Roe v. Wade decision, and traveled out of state to obtain medical abortion services.”","Burks, Nancy",Fun City!,1976-02-06,1970s,Newspaper article,application/pdf,Bloomington_Women_Leave_Area_1976_a.pdf,"Bloomington, IN; Monroe County, IN","The Leon Varjian papers, 1952-1985, from the Indiana University Archives. This document and other materials in this collection have been digitized by the IU Archives.",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Bloomington_Womens_Handbook_1974_a,"Bloomington Women's Handbook, 1974",Abortion--History; Planned Parenthood,A handbook of resources issued by the Indiana University Student Association Women's Affairs Office. It includes information on health and abortion services on pages 6-7 and childcare services on pages 11-12.,Indiana University Student Association,Indiana University Student Association,1974,1970s,Handbook,application/pdf,Bloomington_Womens_Handbook_1974_a.pdf,"Bloomington, IN; Monroe County, IN","The Martha Vicinus papers, 1969-1980, from the Indiana University Archives. This document and other materials in this collection have been digitized by the IU Archives.",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
Bloomington_Womens_Liberation_Newsletter_1971_a,"Bloomington Women's Liberation Newsletter, 1971",Abortion--History; Bloomington Women’s Liberation (Organization),A newsletter of the Bloomington Women's Liberation organization. It includes information on abortion advocacy and a personal essay about a botched sterilization procedure.,Bloomington Women's Liberation (Organization),Bloomington Women's Liberation (Organization),1971-07; 1971-08,1970s,Newsletter,application/pdf,Bloomington_Womens_Liberation_Newsletter_1971_a,"Bloomington, IN; Monroe County, IN","The Martha Vicinus papers, 1969-1980, from the Indiana University Archives. This document and other materials in this collection have been digitized by the IU Archives.",eng,Rights belong to Indiana University Archives. The IU Archives have granted permission to share this resource. You may use these materials for noncommercial educational use (teaching or research).,https://creativecommons.org/licenses/by-nc-nd/4.0/
